County_Code,Column,County_Num,academic_wght_avg_score_All,academic_wght_avg_score_Economic_disadv,academic_wght_avg_score_NOT_economic_disadv,fitness_pct_HFZ_All,fitness_pct_HFZ_Economic_disadv,fitness_pct_HFZ_NOT_economic_disadv,fitness_pct_NI_All,fitness_pct_NI_Economic_disadv,fitness_pct_NI_NOT_economic_disadv,fitness_pct_NI_HR_All,fitness_pct_NI_HR_Economic_disadv,fitness_pct_NI_HR_NOT_economic_disadv,fitness_pct_risk_all,fitness_pct_risk_disadv,fitness_pct_Risk_NOT_economic_disadv,County
1,0,1,353.2617537,326.2022922,381.3870787,0.636122748,0.523148324,0.728351974,0.233018049,0.27035371,0.150460275,0.12814017,0.175201226,0.085475077,0.361158219,0.445554936,0.235935352,Alameda
3,1,2,,,,,,,,,,,,,0,,,Alpine
5,2,3,279.3569281,202.8421495,335.766349,0.668490217,0.587222039,0.702263566,0.169751993,0.179701377,0.150848992,0.129149094,0.152084848,0.114329302,0.298901087,0.331786226,0.265178295,Amador
7,3,4,343.6210982,329.9661294,355.7042523,0.647057717,0.584524263,0.716731242,0.175426827,0.194870638,0.14989557,0.158062844,0.195895867,0.105475077,0.333489671,0.390766505,0.255370646,Butte
9,4,5,353.1159348,335.2246072,362.5442654,0.63510132,0.585512032,0.691720263,0.202937329,0.216253788,0.173126504,0.141625996,0.146095143,0.122558774,0.344563325,0.36234893,0.295685278,Calaveras
11,5,6,337.704284,329.6547785,358.1676162,0.630494182,0.599747991,0.698333982,0.189711328,0.195051064,0.166735409,0.17979449,0.205200946,0.111584306,0.369505818,0.400252009,0.278319715,Colusa
13,6,7,356.3992988,323.7040438,381.189608,0.677106197,0.540862875,0.766083565,0.193512819,0.259054502,0.148307633,0.126878965,0.190841295,0.081485368,0.320391783,0.449895797,0.229793001,Contra Costa
15,7,8,323.8999866,325.5156896,318.4951601,0.644172131,0.601652869,0.68784466,0.177264187,0.165287582,0.17018123,0.140732661,0.143734931,0.12579288,0.317996847,0.309022513,0.29597411,Del Norte
17,8,9,370.2865019,309.0425788,382.2502306,0.760957411,0.508426193,0.581905388,0.14440354,0.177897398,0.089573124,0.086939338,0.112788507,0.043082104,0.231342878,0.290685905,0.132655228,El Dorado
19,9,10,331.0821928,317.6037678,357.8953391,0.580822071,0.543430526,0.673580367,0.238643741,0.251870893,0.188477244,0.176476087,0.19431209,0.121796841,0.415119828,0.446182983,0.310274086,Fresno
21,10,11,319.3560555,309.4480691,293.7494872,0.606384228,0.5663583,0.673220833,0.179355845,0.182269231,0.1670125,0.162246504,0.185245614,0.129211111,0.341602349,0.367514845,0.296223611,Glenn
23,11,12,328.9446493,324.0020471,340.0021947,0.555489458,0.491523299,0.588524147,0.245726561,0.253678176,0.201900638,0.17693932,0.18574053,0.130474466,0.422665881,0.439418706,0.332375104,Humboldt
25,12,13,329.847918,323.6771422,339.4117312,0.566148841,0.545441115,0.608398218,0.218637841,0.226541324,0.179781426,0.210644309,0.223747967,0.157200949,0.42928215,0.45028929,0.336982375,Imperial
27,13,14,326.0945264,302.1120104,351.0606808,0.534333208,0.460276049,0.667957532,0.27965213,0.321589986,0.221004808,0.154435714,0.173479026,0.067768429,0.434087845,0.495069012,0.288773237,Inyo
29,14,15,338.2289804,324.0159269,360.6339241,0.606689216,0.577562511,0.680781698,0.224256642,0.236797414,0.192771563,0.16528862,0.180592372,0.118605592,0.389545262,0.417389786,0.311377155,Kern
31,15,16,323.2392316,314.764146,348.9424492,0.587859254,0.550317411,0.660583959,0.230141523,0.252210699,0.182083657,0.176177534,0.193094395,0.148785375,0.406319056,0.445305094,0.330869032,Kings
33,16,17,329.4987668,303.6983918,311.1202112,0.569519458,0.518367911,0.574513782,0.226208917,0.223263819,0.175505696,0.170021625,0.192563053,0.090112826,0.396230542,0.415826872,0.265618523,Lake
35,17,18,347.6758852,322.9996204,306.943686,0.650113832,0.567320865,0.648777251,0.242977711,0.249674564,0.198537915,0.103606311,0.095722776,0.098182464,0.346584021,0.34539734,0.296720379,Lassen
37,18,19,339.233317,328.0517585,360.9854054,0.596714521,0.548448613,0.705151018,0.234202259,0.256172369,0.166583019,0.165776467,0.186422898,0.101623489,0.399978726,0.442595266,0.268206508,Los Angeles
39,19,20,329.0632882,314.2780197,312.4282964,0.574704869,0.547227339,0.50077996,0.21864999,0.222792981,0.174425896,0.188707222,0.206684552,0.09347936,0.407357212,0.429477533,0.267905256,Madera
41,20,21,372.0888844,314.355832,389.4097339,0.755887136,0.596258935,0.809177895,0.15791572,0.217621444,0.13617413,0.075539452,0.160408461,0.044674435,0.233455172,0.378029905,0.180848565,Marin
43,21,22,294.6585153,271.836,327.1988796,0.649848259,0.548283828,0.754379679,0.140327529,0.171872937,0.105537433,0.140172471,0.195684818,0.086606952,0.2805,0.367557756,0.192144385,Mariposa
45,22,23,322.2462285,314.3433376,293.8064982,0.563148308,0.520042513,0.614162783,0.221398962,0.222313904,0.15181864,0.195652515,0.220388681,0.118779282,0.417051478,0.442702585,0.270597922,Mendocino
47,23,24,321.2598013,319.6910552,343.2504771,0.556934795,0.540382226,0.55426367,0.240879172,0.247237828,0.202259176,0.198957155,0.207892287,0.194188764,0.439836328,0.455130115,0.39644794,Merced
49,24,25,343.6460398,305.7600145,194.635461,0.564287571,0.515920635,0.587207547,0.179976271,0.233553571,0.106188679,0.13370226,0.16719246,0.099056604,0.313678531,0.400746032,0.205245283,Modoc
51,25,26,349.2452229,246.2946108,282.6468468,0.58741453,0.522534161,0.62442963,0.202459936,0.194173913,0.139366667,0.123587073,0.103167702,0.073240741,0.326047009,0.297341615,0.212607407,Mono
53,26,27,326.8161273,313.4694043,349.3394017,0.636756251,0.60660121,0.675316002,0.191352027,0.201574719,0.171304677,0.168029304,0.188381561,0.131715116,0.359381331,0.38995628,0.303019793,Monterey
55,27,28,343.8238731,327.3036998,368.3194029,0.66315228,0.587290979,0.728060294,0.197278044,0.222313423,0.172384412,0.139569676,0.173888213,0.097840763,0.33684772,0.396201636,0.270225175,Napa
57,28,29,355.3918925,300.3839895,366.0904376,0.72024345,0.6587354,0.716491371,0.183223887,0.164354422,0.181452663,0.083956683,0.106832314,0.06988141,0.26718057,0.271186735,0.251334073,Nevada
59,29,30,360.7823298,335.6645765,393.542515,0.709144643,0.620229777,0.773366714,0.171640662,0.208039937,0.128255251,0.118349025,0.16673262,0.069844688,0.289989688,0.374772558,0.198099939,Orange
,30,30,360.7823298,335.6645765,393.542515,0.709144643,0.620229777,0.773366714,0.171640662,0.208039937,0.128255251,0.118349025,0.16673262,0.069844688,0.289989688,0.374772558,0.198099939,
61,31,31,376.7941168,338.3186046,380.6785184,0.755199098,0.658269813,0.781088586,0.137871799,0.168651178,0.121367744,0.104102226,0.139854019,0.088605595,0.241974025,0.308505196,0.209973339,Placer
63,32,32,369.1689744,353.2707907,377.9706721,0.662336887,0.634562893,0.645875252,0.219795665,0.231290881,0.180249497,0.11147086,0.134146226,0.091380282,0.331266525,0.365437107,0.271629779,Plumas
65,33,33,336.8214724,324.0791739,363.0074781,0.617474538,0.574516078,0.671485362,0.217477241,0.233268851,0.190300317,0.16200377,0.18550208,0.129087359,0.379481011,0.41877093,0.319387676,Riverside
67,34,34,344.7210816,330.3975945,367.8224468,0.63980052,0.58997617,0.668846644,0.20993262,0.232287329,0.165159177,0.14623429,0.17086191,0.104385149,0.356166911,0.40314924,0.269544326,Sacramento
69,35,35,328.8107437,309.2307169,353.4919324,0.584538159,0.537757525,0.647600283,0.202481768,0.210942897,0.189825902,0.198339976,0.241172996,0.161299929,0.400821743,0.452115893,0.351125832,San Benito
71,36,36,335.6655117,320.8825557,356.905808,0.58198577,0.543253206,0.666467379,0.240146574,0.256301638,0.184047226,0.174326409,0.193137604,0.120455148,0.414472983,0.449439242,0.304502373,San Bernardino
73,37,37,354.4153083,332.3299368,373.6043723,0.704743364,0.631719346,0.769383155,0.169676333,0.199075631,0.133625573,0.120298544,0.15997549,0.076800219,0.289974878,0.359051121,0.210425792,San Diego
75,38,38,353.5291051,342.0712633,371.7212457,0.637661423,0.601081151,0.703228646,0.241163783,0.256243453,0.189837267,0.117562754,0.128263495,0.072990122,0.358726537,0.384506948,0.262827389,San Francisco
77,39,39,332.331268,320.0966388,354.5730284,0.578503596,0.529450117,0.641858812,0.243794238,0.266126188,0.196881411,0.174765404,0.195729024,0.136601382,0.418559642,0.461855212,0.333482793,San Joaquin
79,40,40,354.5116568,324.891604,373.7667571,0.711536642,0.614964983,0.772656016,0.16980222,0.205834851,0.140481874,0.111288836,0.15712511,0.071991922,0.281091057,0.362959961,0.212473796,San Luis Obispo
81,41,41,357.4970217,324.2403141,379.5968652,0.695909436,0.576635958,0.768759268,0.169919105,0.227424019,0.133403154,0.131235957,0.183812816,0.087240036,0.301155062,0.411236835,0.220643191,San Mateo
83,42,42,335.830611,316.7563638,364.4909625,0.662974632,0.614149076,0.729010568,0.196650264,0.211905586,0.163884292,0.134687101,0.158669328,0.094531256,0.331337365,0.370574914,0.258415547,Santa Barbara
85,43,43,364.20517,322.0244692,391.2129403,0.728606189,0.616758376,0.800459746,0.158699999,0.202334047,0.123597512,0.110699559,0.165575833,0.070325149,0.269399558,0.36790988,0.193922661,Santa Clara
87,44,44,352.6897496,322.2709862,372.7784315,0.649802633,0.549232457,0.742730636,0.216957106,0.225394541,0.158945467,0.130826298,0.176691873,0.078525356,0.347783403,0.402086414,0.237470823,Santa Cruz
89,45,45,355.4838593,338.8455626,374.655996,0.694926013,0.625703057,0.757086324,0.165702155,0.19215907,0.138062483,0.120129702,0.148871929,0.093771319,0.285831856,0.341030999,0.231833802,Shasta
