,County_Name,academic_wght_avg_score_All,academic_wght_avg_score_Economic_disadv,academic_wght_avg_score_NOT_economic_disadv,fitness_pct_HFZ_All,fitness_pct_HFZ_Economic_disadv,fitness_pct_HFZ_NOT_economic_disadv,fitness_pct_unhealthy_comb_ALL,fitness_pct_unhealthy_comb_Economic_disadv,fitness_pct_unhealthy_comb_NOT_economic_disadv
0,Alameda,355.271325861,325.45209657,384.876137391,0.64258272362,0.520962437172,0.734619833037,0.355605555943,0.442271441557,0.231707301498
1,Alpine,,,,,,,,,
2,Amador,269.833396465,188.150311527,332.966740782,0.668490217391,0.587222038567,0.702263565891,0.298901086957,0.331786225895,0.265178294574
3,Butte,345.173663634,334.487911427,353.390633451,0.657105029193,0.587466639271,0.743107607656,0.32466248673,0.388524594043,0.226653157895
4,Calaveras,355.55786724,337.673849243,366.480685246,0.644996014493,0.602104266212,0.685487913486,0.349931521739,0.375370136519,0.314512086514
5,Colusa,339.337803458,330.390492424,358.936248528,0.630494182067,0.591376837364,0.679144864341,0.369505817933,0.408623162636,0.297599321706
6,Contra Costa,356.623835682,322.436982284,380.018005911,0.676373906025,0.539936203296,0.768900607048,0.321083986242,0.44963372559,0.227327660857
7,Del Norte,325.329099369,328.820417371,346.347368421,0.644172131148,0.593889605735,0.685680555556,0.317996847415,0.305035125448,0.305060185185
8,El Dorado,370.713232736,317.649578516,385.850522282,0.764437937775,0.521064260903,0.590284390244,0.227743199218,0.273995561559,0.132642439024
9,Fresno,334.871128951,319.95848467,361.673781682,0.581539986769,0.547161406053,0.67210882284,0.413857856413,0.443189950219,0.313214990805
10,Glenn,316.426929936,304.740782325,295.263659794,0.606384228188,0.56428022541,0.647367,0.341602348993,0.370146004098,0.312633
11,Humboldt,330.767337439,326.645737591,338.958329386,0.561502116708,0.514050227049,0.583181214421,0.427240847645,0.447289979136,0.345851043643
12,Imperial,330.371699444,323.611522904,342.063335968,0.566780456853,0.547385538968,0.633024988044,0.429761072684,0.448882247363,0.355210306074
13,Inyo,326.094526428,302.112010444,351.060680751,0.53433320802,0.445878787879,0.667957532051,0.434087844611,0.450225108225,0.28877323718
14,Kern,336.671709774,322.02634424,358.772406208,0.607947200179,0.576809536351,0.679602916573,0.388550331291,0.418749530781,0.311853207948
15,Kings,323.28230891,313.966691084,353.2336808,0.588740601921,0.54578187977,0.663579673352,0.406928230329,0.438010247835,0.319664804942
16,Lake,327.280970348,310.817664319,323.49582264,0.569519458333,0.52137463154,0.543929678188,0.396230541667,0.420224484156,0.248283273739
17,Lassen,347.675885226,322.999620382,306.943686007,0.650113832325,0.562065662902,0.647405882353,0.346584021281,0.33630322041,0.298476470588
18,Los Angeles,339.543870753,326.698953075,364.500168332,0.605394718697,0.553546435227,0.716101178716,0.39199980862,0.437549237771,0.263458811908
19,Madera,330.705463107,314.708164487,321.054705004,0.581132834908,0.552540863739,0.559655590717,0.402644848827,0.427732376341,0.283171413502
20,Marin,374.817110513,317.914577219,387.22799174,0.757480489976,0.597894313403,0.807982109916,0.233947278434,0.379066739806,0.184395461348
21,Mariposa,283.515966387,327.21,327.198879552,0.665577070064,0.595790740741,0.754897959184,0.287289171975,0.389394444444,0.163469387755
22,Mendocino,322.723726269,308.613663629,287.546804657,0.563751681548,0.524710053467,0.625358680556,0.417498318453,0.43422587431,0.256585763889
23,Merced,323.772668747,320.898816281,346.609272789,0.555774983842,0.540512253477,0.567884550372,0.438407944497,0.451873935917,0.404732082488
24,Modoc,342.787556832,305.333297797,194.635460993,0.564287570622,0.515920634921,0.601391304348,0.313678531073,0.400746031746,0.210202898551
25,Mono,349.24522293,246.294610778,290.498148148,0.587414529915,0.522534161491,0.627172222222,0.326047008547,0.297341614907,0.250605555556
26,Monterey,336.041525056,322.662602977,360.997365762,0.638370209146,0.611775365186,0.6541309586,0.360095383435,0.387334339038,0.330262406948
27,Napa,343.909009415,327.608047351,368.041680409,0.663152279678,0.587290978859,0.733351654216,0.336847720322,0.396201636258,0.258323906083
28,Nevada,359.508777183,311.319727096,373.239037801,0.729454815153,0.679538029925,0.738949653459,0.269175947056,0.263728802993,0.243396364587
29,Orange,360.665861074,336.117889442,393.201065726,0.709015760067,0.616018623226,0.77509682455,0.290145250113,0.379350599427,0.19858419083
30,Placer,378.288320372,339.882154523,382.126598731,0.761835146719,0.662795178644,0.788981670317,0.235261308403,0.311382653268,0.201094979013
31,Plumas,368.700296443,352.924535192,377.948737864,0.662336886994,0.616307432432,0.669516339869,0.33126652452,0.302611486486,0.245516339869
32,Riverside,337.052347774,325.24689501,363.738447611,0.617911460974,0.574550897389,0.67896986123,0.379430393614,0.418946739225,0.31342292718
33,Sacramento,347.913134462,332.445480672,367.072501901,0.639342186499,0.59162663762,0.667719254469,0.356862153292,0.40170378439,0.271822023064
