,County_Name,School_Name,Subgroup,NoHFZ9_aerobic,NoStud9_aerobic,Perc9HFZ_aerobic,Perc9NI_aerobic,Perc9NI_HR_aerobic,NoHFZ9_bodycomp,NoStud9_bodycomp,Perc9HFZ_bodycomp,Perc9NI_bodycomp,Perc9NI_HR_bodycomp,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
0,Alameda,ARISE High,All,26.0,70.0,37.1,48.6,14.3,39.0,70.0,55.7,21.4,22.9,298.4,60.0,60.0
1,Alameda,ARISE High,Economic_disadv,26.0,66.0,39.4,45.5,15.1,37.0,66.0,56.1,19.7,24.2,299.2,58.0,58.0
2,Alameda,ARISE High,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0
3,Alameda,Alameda Community Learning Center,All,28.6666666667,49.0,58.1666666667,29.2333333333,12.6,35.6666666667,49.0,73.0333333333,12.6666666667,14.3,360.8,48.5,283.0
4,Alameda,Alameda Community Learning Center,Economic_disadv,6.0,9.5,50.0,16.7,33.3,5.0,9.5,41.7,25.0,33.3,339.4,11.0,43.0
5,Alameda,Alameda Community Learning Center,NOT_economic_disadv,27.0,42.0,64.3,21.4,14.3,32.0,42.0,76.2,11.9,11.9,366.35,37.5,240.0
6,Alameda,Alameda County Community,All,4.0,7.66666666667,36.4,63.6,0.0,7.0,7.66666666667,63.6,9.1,27.3,295.65,27.5,88.0
7,Alameda,Alameda County Community,Economic_disadv,,7.0,,,,,7.0,,,,296.85,20.0,64.0
8,Alameda,Alameda County Community,NOT_economic_disadv,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,,10.0,24.0
9,Alameda,Alameda County Juvenile Hall/Court,All,,1.0,,,,,1.0,,,,262.8,13.0,69.0
10,Alameda,Alameda County Juvenile Hall/Court,Economic_disadv,,1.0,,,,,1.0,,,,256.6,12.0,37.0
11,Alameda,Alameda County Juvenile Hall/Court,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,32.0
12,Alameda,Alameda High,All,365.0,420.666666667,86.7666666667,8.86666666667,4.36666666667,320.666666667,420.666666667,76.2666666667,13.5333333333,10.2,362.0,198.166666667,565.5
13,Alameda,Alameda High,Economic_disadv,79.5,98.5,80.6,12.2,7.2,74.0,98.5,75.4,12.05,12.55,361.366666667,56.0,152.0
14,Alameda,Alameda High,NOT_economic_disadv,271.0,305.0,88.9,7.9,3.2,240.0,305.0,78.7,13.8,7.5,390.6,180.8,413.5
15,Alameda,Albany High,All,238.333333333,295.333333333,80.7666666667,13.9333333333,5.3,226.0,295.333333333,76.6,15.5,7.9,409.7,141.833333333,407.5
16,Alameda,Albany High,Economic_disadv,33.6666666667,49.6666666667,66.4,23.3,10.3,33.3333333333,49.6666666667,66.6333333333,19.6333333333,13.7333333333,374.966666667,39.5,65.0
17,Alameda,Albany High,NOT_economic_disadv,124.0,150.0,82.6,12.9333333333,4.46666666667,116.333333333,150.0,77.3,15.5333333333,7.16666666667,417.4,137.6,342.5
18,Alameda,Amador Valley High,All,560.333333333,662.666666667,84.5666666667,10.3333333333,5.1,526.0,662.666666667,79.3666666667,13.7333333333,6.9,424.8,360.6,783.75
19,Alameda,Amador Valley High,Economic_disadv,29.3333333333,47.0,62.0333333333,25.4,12.5666666667,28.0,47.0,58.3,24.3333333333,17.3666666667,366.233333333,25.0,48.6666666667
20,Alameda,Amador Valley High,NOT_economic_disadv,520.333333333,602.666666667,86.3333333333,9.0,4.66666666667,487.666666667,602.666666667,80.9,12.9,6.2,428.166666667,425.75,783.333333333
21,Alameda,American High,All,419.666666667,536.333333333,78.2666666667,16.0333333333,5.7,398.333333333,536.333333333,74.2,16.7666666667,9.03333333333,369.26,247.333333333,701.0
22,Alameda,American High,Economic_disadv,75.5,110.0,69.0,21.6,9.4,75.0,110.0,68.4,18.1,13.5,353.8,65.2,154.0
23,Alameda,American High,NOT_economic_disadv,333.5,427.5,78.05,16.7,5.25,329.0,427.5,76.85,15.5,7.65,407.066666667,231.4,547.0
24,Alameda,American Indian Public High,All,52.0,77.3333333333,73.2666666667,18.9333333333,7.8,48.6666666667,77.3333333333,67.0666666667,22.4333333333,10.5,416.033333333,52.3333333333,55.5
25,Alameda,American Indian Public High,Economic_disadv,25.0,34.0,48.3333333333,10.1333333333,8.2,23.6666666667,34.0,45.5333333333,10.1333333333,11.0,414.766666667,42.6666666667,41.0
26,Alameda,American Indian Public High,NOT_economic_disadv,5.0,7.33333333333,41.65,8.35,0.0,5.0,7.33333333333,41.65,8.35,0.0,384.3,10.0,14.5
27,Alameda,Arroyo High,All,269.666666667,435.0,61.8666666667,20.7,17.4333333333,250.666666667,435.0,57.6333333333,20.0666666667,22.3,348.233333333,213.333333333,655.5
