,County_Code,District_Code,School_Code,Subgroup,NoHFZ9_aerobic,NoStud9_aerobic,Perc9HFZ_aerobic,Perc9NI_aerobic,Perc9NI_HR_aerobic,NoHFZ9_bodycomp,NoStud9_bodycomp,Perc9HFZ_bodycomp,Perc9NI_bodycomp,Perc9NI_HR_bodycomp,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
0,1.0,10017.0,109835.0,All,13.5,34.0,38.35,48.15,13.5,25.5,34.0,73.4,16.6,10.0,349.05,50.5,378.0
1,1.0,10017.0,109835.0,Economic_disadv,7.0,19.0,31.3,51.15,17.55,16.0,19.0,80.8,10.1,9.1,346.95,32.5,251.5
2,1.0,10017.0,109835.0,NOT_economic_disadv,6.0,14.0,33.3,66.7,0.0,10.0,14.0,55.6,27.8,16.6,352.75,18.0,126.5
3,1.0,10017.0,112607.0,All,32.6666666667,104.666666667,31.0666666667,56.1333333333,12.8,51.0,104.666666667,48.5333333333,21.7666666667,29.7,324.233333333,54.0,142.0
4,1.0,10017.0,112607.0,Economic_disadv,22.6666666667,75.0,30.2333333333,57.0333333333,12.7333333333,36.3333333333,75.0,48.4666666667,21.4,30.1333333333,322.966666667,49.5,109.333333333
5,1.0,10017.0,112607.0,NOT_economic_disadv,9.33333333333,27.6666666667,33.7666666667,54.0666666667,12.1666666667,13.3333333333,27.6666666667,48.4,22.4,29.2,331.5,17.25,32.6666666667
6,1.0,10017.0,118489.0,All,12.0,61.0,19.45,71.55,9.0,33.0,61.0,54.15,28.05,17.8,399.35,29.5,88.5
7,1.0,10017.0,118489.0,Economic_disadv,9.0,47.5,19.55,70.9,9.55,25.0,47.5,52.65,31.1,16.25,396.25,29.6666666667,74.0
8,1.0,10017.0,118489.0,NOT_economic_disadv,1.5,7.0,10.7,32.15,7.15,3.0,7.0,21.45,7.15,21.4,410.3,7.25,22.5
9,1.0,10017.0,130401.0,All,,1.0,,,,,1.0,,,,261.566666667,18.4,61.0
