County_Code,academic_wght_avg_score_All,County
001,353.261753741,Alameda
003,,Alpine
005,279.356928105,Amador
007,343.621098179,Butte
009,353.115934844,Calaveras
011,337.704283954,Colusa
013,356.399298764,Contra Costa
015,323.899986586,Del Norte
017,370.286501885,El Dorado
019,331.082192775,Fresno
021,319.356055541,Glenn
023,328.944649313,Humboldt
025,329.847917971,Imperial
027,326.094526428,Inyo
029,338.228980385,Kern
031,323.239231575,Kings
033,329.498766777,Lake
035,347.675885226,Lassen
037,339.233316987,Los Angeles
039,329.063288198,Madera
041,372.088884449,Marin
043,294.658515284,Mariposa
045,322.246228453,Mendocino
047,321.259801324,Merced
049,343.646039845,Modoc
051,349.24522293,Mono
053,326.816127275,Monterey
055,343.823873096,Napa
057,355.391892511,Nevada
059,360.782329796,Orange
061,376.794116765,Placer
063,369.168974359,Plumas
065,336.821472367,Riverside
067,344.7210816,Sacramento
069,328.810743671,San Benito
071,335.665511674,San Bernardino
073,354.415308294,San Diego
075,353.529105053,San Francisco
077,332.331267987,San Joaquin
079,354.511656809,San Luis Obispo
081,357.49702171,San Mateo
083,335.830610997,Santa Barbara
085,364.205169962,Santa Clara
087,352.689749596,Santa Cruz
089,355.483859344,Shasta
091,311.818903319,Sierra
093,349.088930146,Siskiyou
095,286.008573267,Solano
097,334.124245646,Sonoma
099,335.120341382,Stanislaus
101,332.405547089,Sutter
103,331.989761682,Tehama
105,318.57456446,Trinity
107,327.156243864,Tulare
109,341.461583853,Tuolumne
111,351.867018879,Ventura
113,343.054970601,Yolo
115,342.64499606,Yuba
