County_Code,academic_wght_avg_score_NOT_economic_disadv,County
1,381.3870787,Alameda
3,,Alpine
5,335.766349,Amador
7,355.7042523,Butte
9,362.5442654,Calaveras
11,358.1676162,Colusa
13,381.189608,Contra Costa
15,318.4951601,Del Norte
17,382.2502306,El Dorado
19,357.8953391,Fresno
21,293.7494872,Glenn
23,340.0021947,Humboldt
25,339.4117312,Imperial
27,351.0606808,Inyo
29,360.6339241,Kern
31,348.9424492,Kings
33,311.1202112,Lake
35,306.943686,Lassen
37,360.9854054,Los Angeles
39,312.4282964,Madera
41,389.4097339,Marin
43,327.1988796,Mariposa
45,293.8064982,Mendocino
47,343.2504771,Merced
49,194.635461,Modoc
51,282.6468468,Mono
53,349.3394017,Monterey
55,368.3194029,Napa
57,366.0904376,Nevada
59,393.542515,Orange
,393.542515,
61,380.6785184,Placer
63,377.9706721,Plumas
65,363.0074781,Riverside
67,367.8224468,Sacramento
69,353.4919324,San Benito
71,356.905808,San Bernardino
73,373.6043723,San Diego
75,371.7212457,San Francisco
77,354.5730284,San Joaquin
79,373.7667571,San Luis Obispo
81,379.5968652,San Mateo
83,364.4909625,Santa Barbara
85,391.2129403,Santa Clara
87,372.7784315,Santa Cruz
89,374.655996,Shasta
91,318.5770833,Sierra
93,331.4639391,Siskiyou
95,347.8393099,Solano
97,353.1682617,Sonoma
99,352.0667521,Stanislaus
101,343.8984393,Sutter
103,321.1942639,Tehama
105,295.1733333,Trinity
107,342.1495142,Tulare
109,364.1332877,Tuolumne
111,371.2823402,Ventura
113,367.171742,Yolo
115,342.8835369,Yuba
