County_Code,fitness_pct_HFZ_All,fitness_pct_HFZ%_All,County
1,0.636122748,0.636122748,Alameda
3,,,Alpine
5,0.668490217,0.668490217,Amador
7,0.647057717,0.647057717,Butte
9,0.63510132,0.63510132,Calaveras
11,0.630494182,0.630494182,Colusa
13,0.677106197,0.677106197,Contra Costa
15,0.644172131,0.644172131,Del Norte
17,0.760957411,0.760957411,El Dorado
19,0.580822071,0.580822071,Fresno
21,0.606384228,0.606384228,Glenn
23,0.555489458,0.555489458,Humboldt
25,0.566148841,0.566148841,Imperial
27,0.534333208,0.534333208,Inyo
29,0.606689216,0.606689216,Kern
31,0.587859254,0.587859254,Kings
33,0.569519458,0.569519458,Lake
35,0.650113832,0.650113832,Lassen
37,0.596714521,0.596714521,Los Angeles
39,0.574704869,0.574704869,Madera
41,0.755887136,0.755887136,Marin
43,0.649848259,0.649848259,Mariposa
45,0.563148308,0.563148308,Mendocino
47,0.556934795,0.556934795,Merced
49,0.564287571,0.564287571,Modoc
51,0.58741453,0.58741453,Mono
53,0.636756251,0.636756251,Monterey
55,0.66315228,0.66315228,Napa
57,0.72024345,0.72024345,Nevada
59,0.709144643,0.709144643,Orange
,0.709144643,0.709144643,
61,0.755199098,0.755199098,Placer
63,0.662336887,0.662336887,Plumas
65,0.617474538,0.617474538,Riverside
67,0.63980052,0.63980052,Sacramento
69,0.584538159,0.584538159,San Benito
71,0.58198577,0.58198577,San Bernardino
73,0.704743364,0.704743364,San Diego
75,0.637661423,0.637661423,San Francisco
77,0.578503596,0.578503596,San Joaquin
79,0.711536642,0.711536642,San Luis Obispo
81,0.695909436,0.695909436,San Mateo
83,0.662974632,0.662974632,Santa Barbara
85,0.728606189,0.728606189,Santa Clara
87,0.649802633,0.649802633,Santa Cruz
89,0.694926013,0.694926013,Shasta
91,0.505662551,0.505662551,Sierra
93,0.664682074,0.664682074,Siskiyou
95,0.576318797,0.576318797,Solano
97,0.655988739,0.655988739,Sonoma
99,0.573392746,0.573392746,Stanislaus
101,0.637596826,0.637596826,Sutter
103,0.58626183,0.58626183,Tehama
105,0.62323539,0.62323539,Trinity
107,0.581166969,0.581166969,Tulare
109,0.675532745,0.675532745,Tuolumne
111,0.671622231,0.671622231,Ventura
113,0.56280647,0.56280647,Yolo
115,0.556309227,0.556309227,Yuba
