County_Code,fitness_pct_risk_all,County
1,0.361158219,Alameda
3,0,Alpine
5,0.298901087,Amador
7,0.333489671,Butte
9,0.344563325,Calaveras
11,0.369505818,Colusa
13,0.320391783,Contra Costa
15,0.317996847,Del Norte
17,0.231342878,El Dorado
19,0.415119828,Fresno
21,0.341602349,Glenn
23,0.422665881,Humboldt
25,0.42928215,Imperial
27,0.434087845,Inyo
29,0.389545262,Kern
31,0.406319056,Kings
33,0.396230542,Lake
35,0.346584021,Lassen
37,0.399978726,Los Angeles
39,0.407357212,Madera
41,0.233455172,Marin
43,0.2805,Mariposa
45,0.417051478,Mendocino
47,0.439836328,Merced
49,0.313678531,Modoc
51,0.326047009,Mono
53,0.359381331,Monterey
55,0.33684772,Napa
57,0.26718057,Nevada
59,0.289989688,Orange
,0.289989688,
61,0.241974025,Placer
63,0.331266525,Plumas
65,0.379481011,Riverside
67,0.356166911,Sacramento
69,0.400821743,San Benito
71,0.414472983,San Bernardino
73,0.289974878,San Diego
75,0.358726537,San Francisco
77,0.418559642,San Joaquin
79,0.281091057,San Luis Obispo
81,0.301155062,San Mateo
83,0.331337365,Santa Barbara
85,0.269399558,Santa Clara
87,0.347783403,Santa Cruz
89,0.285831856,Shasta
91,0.333843621,Sierra
93,0.312006029,Siskiyou
95,0.418076987,Solano
97,0.332517809,Sonoma
99,0.421695019,Stanislaus
101,0.35432389,Sutter
103,0.402817733,Tehama
105,0.37676461,Trinity
107,0.413205315,Tulare
109,0.299356973,Tuolumne
111,0.325303998,Ventura
113,0.414299361,Yolo
115,0.429044123,Yuba
